,AÇÃO,ANO,LPA,P/VP,DIV_LIQ/EBITDA,DIV_LIQ/EBIT,M_LIQUIDA,ROE,ROA,CAGR_LUCRO_5A,BOA
329,PSSA3,2013,4.35,1.63,0.0,-6.44,0.0,0.2384,0.0689,0.3722,1
330,QUAL3,ATUAL,1.0,1.68,1.5,2.49,0.1389,0.2036,0.0576,-0.0681,0
331,QUAL3,2021,1.29,3.79,1.47,2.31,0.1745,0.2889,0.0831,-0.02,0
332,QUAL3,2020,1.38,5.9,0.63,1.0,0.1935,0.2329,0.089,0.1154,0
333,QUAL3,2019,1.39,7.37,0.85,1.39,0.1961,0.2753,0.1162,0.2552,0
334,QUAL3,2018,1.4,1.55,0.0,0.19,0.2055,0.1686,0.1119,0.0,0
335,QUAL3,2017,1.3,3.73,0.0,0.08,0.1786,0.1566,0.105,0.7548,0
336,QUAL3,2016,1.48,2.56,0.0,0.25,0.206,0.1961,0.1127,0.0,0
337,QUAL3,2015,0.83,1.95,0.0,0.33,0.1313,0.1141,0.0661,0.0,0
338,QUAL3,2014,0.47,3.16,0.0,-0.06,0.0844,0.0535,0.0333,0.0,0
339,QUAL3,2013,-0.12,2.98,0.0,-0.56,-0.0264,-0.0158,-0.0097,0.0,0
340,RADL3,ATUAL,0.5,7.55,0.52,1.01,0.0311,0.1636,0.0507,0.1288,1
341,RADL3,2021,0.46,8.58,0.43,0.84,0.0312,0.1607,0.0509,0.1093,1
342,RADL3,2020,0.29,9.48,0.37,0.84,0.0241,0.111,0.035,0.0732,1
343,RADL3,2019,2.34,9.16,0.38,0.74,0.044,0.1919,0.063,0.2839,1
344,RADL3,2018,1.52,5.4,0.0,0.83,0.0339,0.1436,0.0683,0.3784,1
345,RADL3,2017,1.55,9.41,0.0,0.44,0.0387,0.1586,0.0791,0.3728,1
346,RADL3,2016,1.36,6.95,0.0,0.19,0.0398,0.1539,0.0791,0.4548,1
347,RADL3,2015,1.03,4.45,0.0,0.06,0.0382,0.1292,0.0724,0.3075,1
348,RADL3,2014,0.67,3.41,0.0,0.0,0.03,0.0901,0.0547,0.2431,1
349,RADL3,2013,0.31,2.1,0.0,0.02,0.0162,0.0434,0.0279,0.1456,1
350,RENT3,ATUAL,2.13,7.68,2.1,2.49,0.187,0.2491,0.0686,0.3853,1
351,RENT3,2021,2.69,5.28,2.01,2.3,0.1875,0.2683,0.0807,0.3793,1
352,RENT3,2020,1.38,8.64,2.65,3.62,0.1017,0.1732,0.0513,0.211,1
353,RENT3,2019,1.15,6.29,2.96,4.4,0.0818,0.1531,0.043,0.1522,1
354,RENT3,2018,0.99,6.41,0.0,4.15,0.0835,0.213,0.0471,0.1139,1
355,RENT3,2017,2.27,1.89,0.0,3.99,0.0835,0.1944,0.0452,0.1598,1
356,RENT3,2016,1.59,4.02,0.0,2.71,0.0922,0.1863,0.0552,0.0701,1
357,RENT3,2015,1.9,2.71,0.0,2.22,0.1024,0.2073,0.0657,0.0948,1
358,RENT3,2014,1.94,4.57,0.0,1.82,0.1055,0.248,0.0721,0.3032,1
359,RENT3,2013,1.81,5.26,0.0,2.04,0.1096,0.2866,0.084,0.0,1
360,SANB3,ATUAL,1.99,1.01,0.0,0.0,0.1358,0.1385,0.0154,0.1528,0
361,SANB3,2021,2.08,0.98,0.0,0.0,0.1995,0.1427,0.0159,0.1623,0
362,SANB3,2020,1.79,1.91,0.0,0.0,0.2138,0.1581,0.0136,0.0652,0
363,SANB3,2019,2.19,2.74,0.0,0.0,0.2252,0.1698,0.0215,0.2385,0
364,SANB3,2018,1.68,1.83,0.0,0.0,0.1785,0.1383,0.0174,0.1706,0
365,SANB3,2017,1.18,1.61,0.0,0.0,0.125,0.103,0.0138,0.1023,0
366,SANB3,2016,0.97,1.74,0.0,0.0,0.0951,0.0872,0.0116,-0.0107,0
367,SANB3,2015,1.08,1.01,0.0,0.0,0.14,0.1232,0.0162,0.0579,0
368,SANB3,2014,0.01,34.14,0.0,0.0,0.0955,0.0719,0.0108,0.0044,0
369,SANB3,2013,0.01,0.69,0.0,0.0,0.1117,0.0703,0.0126,0.192,0
370,SHOW3,ATUAL,-0.36,1.37,92.17,13.99,-0.0947,-0.1608,-0.0429,0.0,0
371,SHOW3,2021,-0.95,1.86,1.88,1.64,-2.0467,-0.475,-0.1184,0.0,0
372,SHOW3,2020,-1.61,1.39,0.92,0.72,-2.7146,-0.5642,-0.2051,0.0,0
373,SHOW3,2019,-1.05,1.52,1.77,1.13,-0.1798,-0.2551,-0.1136,0.0,0
374,SHOW3,2018,0.12,1.51,-2.28,-2.65,0.014,0.0255,0.0123,0.0,0
375,SHOW3,2017,0.66,1.53,-2.39,-2.63,0.0679,0.1371,0.0636,0.0,0
376,SHOW3,2016,0.39,1.32,-1.54,-1.87,0.0336,0.0932,0.0494,-0.1504,0
377,SHOW3,2015,46.01,0.01,-4.61,-6.32,0.038,0.0778,0.025,-0.1142,0
378,SHOW3,2014,-154.11,0.01,1.14,0.86,-0.1269,-0.2818,-0.1461,0.0,0
379,SHOW3,2013,-0.19,1.16,-12.2,17.34,-0.0242,-0.041,-0.0196,0.0,0
380,SLCE3,ATUAL,7.15,1.92,0.0,1.18,0.1697,0.3139,0.1059,1.1932,1
381,SLCE3,2021,5.5,2.47,1.19,1.28,0.1679,0.3013,0.0825,1.0416,1
382,SLCE3,2020,2.56,1.78,0.9,1.04,0.1262,0.1662,0.0569,0.3187,1
383,SLCE3,2019,1.63,1.7,1.47,1.75,0.1024,0.1119,0.0448,0.3562,1
384,SLCE3,2018,4.0,1.54,0.0,1.46,0.135,0.1467,0.0662,0.3188,1
385,SLCE3,2017,3.6,1.05,0.0,1.42,0.1605,0.1418,0.0673,0.5638,1
386,SLCE3,2016,0.3,0.58,3.08,5.99,0.018,0.0122,0.0055,-0.1818,1
387,SLCE3,2015,1.24,0.74,3.0,4.12,0.0696,0.0556,0.0231,0.3258,1
388,SLCE3,2014,0.69,0.63,3.3,5.03,0.0453,0.0308,0.0151,0.7091,1
389,SLCE3,2013,0.97,1.0,3.03,5.17,0.0809,0.0476,0.0224,0.0,1
390,STBP3,ATUAL,0.44,3.0,-0.97,-1.38,0.2117,0.1601,0.0746,0.0,1
391,STBP3,2021,0.31,2.54,-1.19,-1.78,0.1771,0.1242,0.0572,0.0,1
392,STBP3,2020,-0.02,2.16,-3.01,-10.7,-0.0148,-0.0066,-0.0033,0.0,1
393,STBP3,2019,0.02,4.04,0.05,0.13,0.0158,0.0114,0.0048,-0.3001,1
394,STBP3,2018,0.0,2.1,-0.14,-0.4,0.0032,0.0022,0.001,-0.5893,1
395,STBP3,2017,-0.01,1.7,-0.23,-1.19,-0.0065,-0.004,-0.0019,0.0,1
396,STBP3,2016,-0.04,1.15,0.23,1.16,-0.0337,-0.0201,-0.0102,0.0,1
397,STBP3,2015,-0.03,0.0,0.52,3.08,-0.0236,-0.0162,-0.0084,0.0,1
398,STBP3,2014,0.14,0.0,0.0,0.91,0.0912,0.0641,0.0423,0.0705,1
399,STBP3,2013,0.38,0.0,0.38,0.51,0.1852,0.1762,0.1156,0.4017,1
400,TOTS3,ATUAL,0.67,4.27,-1.01,-1.47,0.112,0.0949,0.0402,0.2191,0
401,TOTS3,2021,0.6,4.18,-1.83,-2.76,0.1131,0.0871,0.0371,0.1927,0
402,TOTS3,2020,0.51,6.37,-1.48,-2.24,0.1136,0.1133,0.0573,0.0857,0
403,TOTS3,2019,1.27,4.32,-2.54,-3.34,0.0919,0.0847,0.0593,-0.0442,0
404,TOTS3,2018,0.36,3.49,0.1,0.2,0.0257,0.0463,0.0249,-0.2317,0
405,TOTS3,2017,0.56,3.93,0.97,1.98,0.0417,0.0737,0.0373,-0.148,0
406,TOTS3,2016,0.92,3.26,1.27,2.06,0.0699,0.125,0.0625,-0.02,0
